class	property	type	description	accepted_types
Vehicle	vehicleTransmission	QualitativeValue	"The type of component used for transmitting the power from a rotating power source to the wheels or other relevant component(s) (""gearbox"" for cars)."	URL or Text or QualitativeValue
Vehicle	vehicleSpecialUsage	Text	Indicates whether the vehicle has been used for special purposes, like commercial rental, driving school, or as a taxi. The legislation in many countries requires this information to be revealed when offering a car for sale.	Text
Vehicle	vehicleSeatingCapacity	QuantitativeValue	The number of passengers that can be seated in the vehicle, both in terms of the physical space available, and in terms of limitations set by law.\n\nTypical unit code(s): C62 for persons.	QuantitativeValue or Number
Vehicle	vehicleSeatingCapacity	Number	The number of passengers that can be seated in the vehicle, both in terms of the physical space available, and in terms of limitations set by law.\n\nTypical unit code(s): C62 for persons.	QuantitativeValue or Number
Vehicle	vehicleModelDate	Date	The release date of a vehicle model (often used to differentiate versions of the same make and model).	Date
Vehicle	vehicleInteriorType	Text	The type or material of the interior of the vehicle (e.g. synthetic fabric, leather, wood, etc.). While most interior types are characterized by the material used, an interior type can also be based on vehicle usage or target audience.	Text
Vehicle	vehicleInteriorColor	Text	The color or color combination of the interior of the vehicle.	Text
Vehicle	vehicleIdentificationNumber	Text	The Vehicle Identification Number (VIN) is a unique serial number used by the automotive industry to identify individual motor vehicles.	Text
Vehicle	vehicleEngine	EngineSpecification	Information about the engine or engines of the vehicle.	EngineSpecification
Vehicle	vehicleConfiguration	Text	A short text indicating the configuration of the vehicle, e.g. '5dr hatchback ST 2.5 MT 225 hp' or 'limited edition'.	Text
Person	vatID	Text	The Value-added Tax ID of the organization or person.	Text or Text
Organization	vatID	Text	The Value-added Tax ID of the organization or person.	Text or Text
PropertyValueSpecification	valueRequired	Boolean	Whether the property must be filled in to complete the action.  Default is false.	Boolean
QuantitativeValue	valueReference	StructuredValue	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.	StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration
QuantitativeValue	valueReference	QuantitativeValue	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.	StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration
QuantitativeValue	valueReference	QualitativeValue	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.	StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration
QuantitativeValue	valueReference	PropertyValue	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.	StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration
QuantitativeValue	valueReference	Enumeration	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.	StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration
QualitativeValue	valueReference	StructuredValue	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.	StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration
QualitativeValue	valueReference	QuantitativeValue	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.	StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration
QualitativeValue	valueReference	QualitativeValue	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.	StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration
QualitativeValue	valueReference	PropertyValue	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.	StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration
QualitativeValue	valueReference	Enumeration	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.	StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration
PropertyValue	valueReference	StructuredValue	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.	StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration
PropertyValue	valueReference	QuantitativeValue	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.	StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration
PropertyValue	valueReference	QualitativeValue	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.	StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration
PropertyValue	valueReference	PropertyValue	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.	StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration
PropertyValue	valueReference	Enumeration	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.	StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration or StructuredValue or QuantitativeValue or QualitativeValue or PropertyValue or Enumeration
PropertyValueSpecification	valuePattern	Text	Specifies a regular expression for testing literal values according to the HTML spec.	Text
PropertyValueSpecification	valueName	Text	Indicates the name of the PropertyValueSpecification to be used in URL templates and form encoding in a manner analogous to HTML's input@name.	Text
PropertyValueSpecification	valueMinLength	Number	Specifies the minimum allowed range for number of characters in a literal value.	Number
PropertyValueSpecification	valueMaxLength	Number	Specifies the allowed range for number of characters in a literal value.	Number
PriceSpecification	valueAddedTaxIncluded	Boolean	Specifies whether the applicable value-added tax (VAT) is included in the price specification or not.	Boolean
QuantitativeValue	value	Text	The value of the quantitative value or property value node.\n\n* For [[QuantitativeValue]] and [[MonetaryAmount]], the recommended type for values is 'Number'.\n* For [[PropertyValue]], it can be 'Text;', 'Number', 'Boolean', or 'StructuredValue'.	Text or StructuredValue or Number or Boolean or Text or StructuredValue or Number or Boolean or Text or StructuredValue or Number or Boolean
QuantitativeValue	value	StructuredValue	The value of the quantitative value or property value node.\n\n* For [[QuantitativeValue]] and [[MonetaryAmount]], the recommended type for values is 'Number'.\n* For [[PropertyValue]], it can be 'Text;', 'Number', 'Boolean', or 'StructuredValue'.	Text or StructuredValue or Number or Boolean or Text or StructuredValue or Number or Boolean or Text or StructuredValue or Number or Boolean
QuantitativeValue	value	Number	The value of the quantitative value or property value node.\n\n* For [[QuantitativeValue]] and [[MonetaryAmount]], the recommended type for values is 'Number'.\n* For [[PropertyValue]], it can be 'Text;', 'Number', 'Boolean', or 'StructuredValue'.	Text or StructuredValue or Number or Boolean or Text or StructuredValue or Number or Boolean or Text or StructuredValue or Number or Boolean
QuantitativeValue	value	Boolean	The value of the quantitative value or property value node.\n\n* For [[QuantitativeValue]] and [[MonetaryAmount]], the recommended type for values is 'Number'.\n* For [[PropertyValue]], it can be 'Text;', 'Number', 'Boolean', or 'StructuredValue'.	Text or StructuredValue or Number or Boolean or Text or StructuredValue or Number or Boolean or Text or StructuredValue or Number or Boolean
PropertyValue	value	Text	The value of the quantitative value or property value node.\n\n* For [[QuantitativeValue]] and [[MonetaryAmount]], the recommended type for values is 'Number'.\n* For [[PropertyValue]], it can be 'Text;', 'Number', 'Boolean', or 'StructuredValue'.	Text or StructuredValue or Number or Boolean or Text or StructuredValue or Number or Boolean or Text or StructuredValue or Number or Boolean
PropertyValue	value	StructuredValue	The value of the quantitative value or property value node.\n\n* For [[QuantitativeValue]] and [[MonetaryAmount]], the recommended type for values is 'Number'.\n* For [[PropertyValue]], it can be 'Text;', 'Number', 'Boolean', or 'StructuredValue'.	Text or StructuredValue or Number or Boolean or Text or StructuredValue or Number or Boolean or Text or StructuredValue or Number or Boolean
PropertyValue	value	Number	The value of the quantitative value or property value node.\n\n* For [[QuantitativeValue]] and [[MonetaryAmount]], the recommended type for values is 'Number'.\n* For [[PropertyValue]], it can be 'Text;', 'Number', 'Boolean', or 'StructuredValue'.	Text or StructuredValue or Number or Boolean or Text or StructuredValue or Number or Boolean or Text or StructuredValue or Number or Boolean
PropertyValue	value	Boolean	The value of the quantitative value or property value node.\n\n* For [[QuantitativeValue]] and [[MonetaryAmount]], the recommended type for values is 'Number'.\n* For [[PropertyValue]], it can be 'Text;', 'Number', 'Boolean', or 'StructuredValue'.	Text or StructuredValue or Number or Boolean or Text or StructuredValue or Number or Boolean or Text or StructuredValue or Number or Boolean
MonetaryAmount	value	Text	The value of the quantitative value or property value node.\n\n* For [[QuantitativeValue]] and [[MonetaryAmount]], the recommended type for values is 'Number'.\n* For [[PropertyValue]], it can be 'Text;', 'Number', 'Boolean', or 'StructuredValue'.	Text or StructuredValue or Number or Boolean or Text or StructuredValue or Number or Boolean or Text or StructuredValue or Number or Boolean
MonetaryAmount	value	StructuredValue	The value of the quantitative value or property value node.\n\n* For [[QuantitativeValue]] and [[MonetaryAmount]], the recommended type for values is 'Number'.\n* For [[PropertyValue]], it can be 'Text;', 'Number', 'Boolean', or 'StructuredValue'.	Text or StructuredValue or Number or Boolean or Text or StructuredValue or Number or Boolean or Text or StructuredValue or Number or Boolean
MonetaryAmount	value	Number	The value of the quantitative value or property value node.\n\n* For [[QuantitativeValue]] and [[MonetaryAmount]], the recommended type for values is 'Number'.\n* For [[PropertyValue]], it can be 'Text;', 'Number', 'Boolean', or 'StructuredValue'.	Text or StructuredValue or Number or Boolean or Text or StructuredValue or Number or Boolean or Text or StructuredValue or Number or Boolean
MonetaryAmount	value	Boolean	The value of the quantitative value or property value node.\n\n* For [[QuantitativeValue]] and [[MonetaryAmount]], the recommended type for values is 'Number'.\n* For [[PropertyValue]], it can be 'Text;', 'Number', 'Boolean', or 'StructuredValue'.	Text or StructuredValue or Number or Boolean or Text or StructuredValue or Number or Boolean or Text or StructuredValue or Number or Boolean
Permit	validUntil	Date	The date when the item is no longer valid.	Date
PriceSpecification	validThrough	DateTime	The date after when the item is not valid. For example the end of an offer, salary period, or a period of opening hours.	DateTime or DateTime or DateTime or DateTime or DateTime or DateTime or DateTime
OpeningHoursSpecification	validThrough	DateTime	The date after when the item is not valid. For example the end of an offer, salary period, or a period of opening hours.	DateTime or DateTime or DateTime or DateTime or DateTime or DateTime or DateTime
Offer	validThrough	DateTime	The date after when the item is not valid. For example the end of an offer, salary period, or a period of opening hours.	DateTime or DateTime or DateTime or DateTime or DateTime or DateTime or DateTime
MonetaryAmount	validThrough	DateTime	The date after when the item is not valid. For example the end of an offer, salary period, or a period of opening hours.	DateTime or DateTime or DateTime or DateTime or DateTime or DateTime or DateTime
LocationFeatureSpecification	validThrough	DateTime	The date after when the item is not valid. For example the end of an offer, salary period, or a period of opening hours.	DateTime or DateTime or DateTime or DateTime or DateTime or DateTime or DateTime
JobPosting	validThrough	DateTime	The date after when the item is not valid. For example the end of an offer, salary period, or a period of opening hours.	DateTime or DateTime or DateTime or DateTime or DateTime or DateTime or DateTime
Demand	validThrough	DateTime	The date after when the item is not valid. For example the end of an offer, salary period, or a period of opening hours.	DateTime or DateTime or DateTime or DateTime or DateTime or DateTime or DateTime
Permit	validIn	AdministrativeArea	The geographic area where the permit is valid.	AdministrativeArea
PriceSpecification	validFrom	DateTime	The date when the item becomes valid.	DateTime or DateTime or DateTime or DateTime or DateTime or DateTime or DateTime
Permit	validFrom	DateTime	The date when the item becomes valid.	DateTime or DateTime or DateTime or DateTime or DateTime or DateTime or DateTime
OpeningHoursSpecification	validFrom	DateTime	The date when the item becomes valid.	DateTime or DateTime or DateTime or DateTime or DateTime or DateTime or DateTime
Offer	validFrom	DateTime	The date when the item becomes valid.	DateTime or DateTime or DateTime or DateTime or DateTime or DateTime or DateTime
MonetaryAmount	validFrom	DateTime	The date when the item becomes valid.	DateTime or DateTime or DateTime or DateTime or DateTime or DateTime or DateTime
LocationFeatureSpecification	validFrom	DateTime	The date when the item becomes valid.	DateTime or DateTime or DateTime or DateTime or DateTime or DateTime or DateTime
Demand	validFrom	DateTime	The date when the item becomes valid.	DateTime or DateTime or DateTime or DateTime or DateTime or DateTime or DateTime
Permit	validFor	Duration	The time validity of the permit.	Duration
InteractionCounter	userInteractionCount	Integer	The number of interactions for the CreativeWork using the WebSite or SoftwareApplication.	Integer
EntryPoint	urlTemplate	Text	An url template (RFC6570) that will be used to construct the target of the execution of the action.	Text
Thing	url	URL	URL of the item.	URL
Question	upvoteCount	Integer	The number of upvotes this question, answer or comment has received from the community.	Integer or Integer
Comment	upvoteCount	Integer	The number of upvotes this question, answer or comment has received from the community.	Integer or Integer
MediaObject	uploadDate	Date	Date when this media object was uploaded to this site.	Date
NutritionInformation	unsaturatedFatContent	Mass	The number of grams of unsaturated fat.	Mass
UnitPriceSpecification	unitText	Text	"A string or text indicating the unit of measurement. Useful if you cannot provide a standard unit code for
<a href='unitCode'>unitCode</a>."	Text or Text or Text or Text
TypeAndQuantityNode	unitText	Text	"A string or text indicating the unit of measurement. Useful if you cannot provide a standard unit code for
<a href='unitCode'>unitCode</a>."	Text or Text or Text or Text
QuantitativeValue	unitText	Text	"A string or text indicating the unit of measurement. Useful if you cannot provide a standard unit code for
<a href='unitCode'>unitCode</a>."	Text or Text or Text or Text
PropertyValue	unitText	Text	"A string or text indicating the unit of measurement. Useful if you cannot provide a standard unit code for
<a href='unitCode'>unitCode</a>."	Text or Text or Text or Text
UnitPriceSpecification	unitCode	URL	The unit of measurement given using the UN/CEFACT Common Code (3 characters) or a URL. Other codes than the UN/CEFACT Common Code may be used with a prefix followed by a colon.	URL or Text or URL or Text or URL or Text or URL or Text
UnitPriceSpecification	unitCode	Text	The unit of measurement given using the UN/CEFACT Common Code (3 characters) or a URL. Other codes than the UN/CEFACT Common Code may be used with a prefix followed by a colon.	URL or Text or URL or Text or URL or Text or URL or Text
TypeAndQuantityNode	unitCode	URL	The unit of measurement given using the UN/CEFACT Common Code (3 characters) or a URL. Other codes than the UN/CEFACT Common Code may be used with a prefix followed by a colon.	URL or Text or URL or Text or URL or Text or URL or Text
TypeAndQuantityNode	unitCode	Text	The unit of measurement given using the UN/CEFACT Common Code (3 characters) or a URL. Other codes than the UN/CEFACT Common Code may be used with a prefix followed by a colon.	URL or Text or URL or Text or URL or Text or URL or Text
QuantitativeValue	unitCode	URL	The unit of measurement given using the UN/CEFACT Common Code (3 characters) or a URL. Other codes than the UN/CEFACT Common Code may be used with a prefix followed by a colon.	URL or Text or URL or Text or URL or Text or URL or Text
QuantitativeValue	unitCode	Text	The unit of measurement given using the UN/CEFACT Common Code (3 characters) or a URL. Other codes than the UN/CEFACT Common Code may be used with a prefix followed by a colon.	URL or Text or URL or Text or URL or Text or URL or Text
PropertyValue	unitCode	URL	The unit of measurement given using the UN/CEFACT Common Code (3 characters) or a URL. Other codes than the UN/CEFACT Common Code may be used with a prefix followed by a colon.	URL or Text or URL or Text or URL or Text or URL or Text
PropertyValue	unitCode	Text	The unit of measurement given using the UN/CEFACT Common Code (3 characters) or a URL. Other codes than the UN/CEFACT Common Code may be used with a prefix followed by a colon.	URL or Text or URL or Text or URL or Text or URL or Text
Ticket	underName	Person	The person or organization the reservation or ticket is for.	Person or Organization or Person or Organization
Ticket	underName	Organization	The person or organization the reservation or ticket is for.	Person or Organization or Person or Organization
Reservation	underName	Person	The person or organization the reservation or ticket is for.	Person or Organization or Person or Organization
Reservation	underName	Organization	The person or organization the reservation or ticket is for.	Person or Organization or Person or Organization
Event	typicalAgeRange	Text	The typical expected age range, e.g. '7-9', '11-'.	Text or Text
CreativeWork	typicalAgeRange	Text	The typical expected age range, e.g. '7-9', '11-'.	Text or Text
TypeAndQuantityNode	typeOfGood	Service	The product that this structured value is referring to.	Service or Product or Service or Product
TypeAndQuantityNode	typeOfGood	Product	The product that this structured value is referring to.	Service or Product or Service or Product
OwnershipInfo	typeOfGood	Service	The product that this structured value is referring to.	Service or Product or Service or Product
OwnershipInfo	typeOfGood	Product	The product that this structured value is referring to.	Service or Product or Service or Product
BedDetails	typeOfBed	Text	The type of bed to which the BedDetail refers, i.e. the type of bed available in the quantity indicated by quantity.	Text
Event	translator	Person	Organization or person who adapts a creative work to different languages, regional differences and technical requirements of a target market, or that translates during some event.	Person or Organization or Person or Organization
Event	translator	Organization	Organization or person who adapts a creative work to different languages, regional differences and technical requirements of a target market, or that translates during some event.	Person or Organization or Person or Organization
CreativeWork	translator	Person	Organization or person who adapts a creative work to different languages, regional differences and technical requirements of a target market, or that translates during some event.	Person or Organization or Person or Organization
CreativeWork	translator	Organization	Organization or person who adapts a creative work to different languages, regional differences and technical requirements of a target market, or that translates during some event.	Person or Organization or Person or Organization
VideoObject	transcript	Text	If this MediaObject is an AudioObject or VideoObject, the transcript of that object.	Text or Text
AudioObject	transcript	Text	If this MediaObject is an AudioObject or VideoObject, the transcript of that object.	Text or Text
NutritionInformation	transFatContent	Mass	The number of grams of trans fat.	Mass
TrainTrip	trainNumber	Text	The unique identifier for the train.	Text
TrainTrip	trainName	Text	The name of the train (e.g. The Orient Express).	Text
VideoGameSeries	trailer	VideoObject	The trailer of a movie or tv/radio series, season, episode, etc.	VideoObject or VideoObject or VideoObject or VideoObject or VideoObject or VideoObject or VideoObject or VideoObject
VideoGame	trailer	VideoObject	The trailer of a movie or tv/radio series, season, episode, etc.	VideoObject or VideoObject or VideoObject or VideoObject or VideoObject or VideoObject or VideoObject or VideoObject
TVSeries	trailer	VideoObject	The trailer of a movie or tv/radio series, season, episode, etc.	VideoObject or VideoObject or VideoObject or VideoObject or VideoObject or VideoObject or VideoObject or VideoObject
RadioSeries	trailer	VideoObject	The trailer of a movie or tv/radio series, season, episode, etc.	VideoObject or VideoObject or VideoObject or VideoObject or VideoObject or VideoObject or VideoObject or VideoObject
MovieSeries	trailer	VideoObject	The trailer of a movie or tv/radio series, season, episode, etc.	VideoObject or VideoObject or VideoObject or VideoObject or VideoObject or VideoObject or VideoObject or VideoObject
Movie	trailer	VideoObject	The trailer of a movie or tv/radio series, season, episode, etc.	VideoObject or VideoObject or VideoObject or VideoObject or VideoObject or VideoObject or VideoObject or VideoObject
Episode	trailer	VideoObject	The trailer of a movie or tv/radio series, season, episode, etc.	VideoObject or VideoObject or VideoObject or VideoObject or VideoObject or VideoObject or VideoObject or VideoObject
CreativeWorkSeason	trailer	VideoObject	The trailer of a movie or tv/radio series, season, episode, etc.	VideoObject or VideoObject or VideoObject or VideoObject or VideoObject or VideoObject or VideoObject or VideoObject
MusicPlaylist	tracks	MusicRecording	A music recording (track)&#x2014;usually a single song.	MusicRecording or MusicRecording
MusicGroup	tracks	MusicRecording	A music recording (track)&#x2014;usually a single song.	MusicRecording or MusicRecording
ParcelDelivery	trackingUrl	URL	Tracking url for the parcel delivery.	URL
ParcelDelivery	trackingNumber	Text	Shipper tracking number.	Text
MusicPlaylist	track	MusicRecording	A music recording (track)&#x2014;usually a single song. If an ItemList is given, the list should contain items of type MusicRecording.	MusicRecording or ItemList or MusicRecording or ItemList
MusicPlaylist	track	ItemList	A music recording (track)&#x2014;usually a single song. If an ItemList is given, the list should contain items of type MusicRecording.	MusicRecording or ItemList or MusicRecording or ItemList
MusicGroup	track	MusicRecording	A music recording (track)&#x2014;usually a single song. If an ItemList is given, the list should contain items of type MusicRecording.	MusicRecording or ItemList or MusicRecording or ItemList
MusicGroup	track	ItemList	A music recording (track)&#x2014;usually a single song. If an ItemList is given, the list should contain items of type MusicRecording.	MusicRecording or ItemList or MusicRecording or ItemList
TouristAttraction	touristType	Text	Attraction suitable for type(s) of tourist. eg. Children, visitors from a particular country, etc.	Text or Audience
TouristAttraction	touristType	Audience	Attraction suitable for type(s) of tourist. eg. Children, visitors from a particular country, etc.	Text or Audience
HowToDirection	totalTime	Duration	The total time required to perform instructions or a direction (including time to prepare the supplies), in [ISO 8601 duration format](http://en.wikipedia.org/wiki/ISO_8601).	Duration or Duration
HowTo	totalTime	Duration	The total time required to perform instructions or a direction (including time to prepare the supplies), in [ISO 8601 duration format](http://en.wikipedia.org/wiki/ISO_8601).	Duration or Duration
Ticket	totalPrice	Text	The total price for the reservation or ticket, including applicable taxes, shipping, etc.	Text or PriceSpecification or Number or Text or PriceSpecification or Number
Ticket	totalPrice	PriceSpecification	The total price for the reservation or ticket, including applicable taxes, shipping, etc.	Text or PriceSpecification or Number or Text or PriceSpecification or Number
Ticket	totalPrice	Number	The total price for the reservation or ticket, including applicable taxes, shipping, etc.	Text or PriceSpecification or Number or Text or PriceSpecification or Number
Reservation	totalPrice	Text	The total price for the reservation or ticket, including applicable taxes, shipping, etc.	Text or PriceSpecification or Number or Text or PriceSpecification or Number
Reservation	totalPrice	PriceSpecification	The total price for the reservation or ticket, including applicable taxes, shipping, etc.	Text or PriceSpecification or Number or Text or PriceSpecification or Number
Reservation	totalPrice	Number	The total price for the reservation or ticket, including applicable taxes, shipping, etc.	Text or PriceSpecification or Number or Text or PriceSpecification or Number
Invoice	totalPaymentDue	PriceSpecification	The total amount due.	PriceSpecification or MonetaryAmount
Invoice	totalPaymentDue	MonetaryAmount	The total amount due.	PriceSpecification or MonetaryAmount
HowToDirection	tool	Text	A sub property of instrument. An object used (but not consumed) when performing instructions or a direction.	Text or HowToTool or Text or HowToTool
HowToDirection	tool	HowToTool	A sub property of instrument. An object used (but not consumed) when performing instructions or a direction.	Text or HowToTool or Text or HowToTool
HowTo	tool	Text	A sub property of instrument. An object used (but not consumed) when performing instructions or a direction.	Text or HowToTool or Text or HowToTool
HowTo	tool	HowToTool	A sub property of instrument. An object used (but not consumed) when performing instructions or a direction.	Text or HowToTool or Text or HowToTool
Message	toRecipient	Person	A sub property of recipient. The recipient who was directly sent the message.	Person or Organization or ContactPoint or Audience
Message	toRecipient	Organization	A sub property of recipient. The recipient who was directly sent the message.	Person or Organization or ContactPoint or Audience
